code,name_en,name_ne,level,parent_code,valid_from,valid_to,geometry_ref
NP,Nepal,नेपाल,country,,,,
NP01,Koshi,कोशी,province,NP,2015-09-20,,ADM1_PCODE=NP01
NP02,Madhesh,मधेश,province,NP,2015-09-20,,ADM1_PCODE=NP02
NP03,Bagmati,बागमती,province,NP,2015-09-20,,ADM1_PCODE=NP03
NP04,Gandaki,गण्डकी,province,NP,2015-09-20,,ADM1_PCODE=NP04
NP05,Lumbini,लुम्बिनी,province,NP,2015-09-20,,ADM1_PCODE=NP05
NP06,Karnali,कर्णाली,province,NP,2015-09-20,,ADM1_PCODE=NP06
NP07,Sudurpaschim,सुदुरपश्चिम,province,NP,2015-09-20,,ADM1_PCODE=NP07
NP0101,Taplejung,ताप्लेजुङ्ग,district,NP01,2015-09-20,,DIST_PCODE=NP0101
NP0109,Sankhuwasabha,संखुवासभा,district,NP01,2015-09-20,,DIST_PCODE=NP0109
NP0111,Solukhumbu,सोलुखुम्बु,district,NP01,2015-09-20,,DIST_PCODE=NP0111
NP0113,Okhaldhunga,ओखलढुंगा,district,NP01,2015-09-20,,DIST_PCODE=NP0113
NP0112,Khotang,खोटाङ्ग,district,NP01,2015-09-20,,DIST_PCODE=NP0112
NP0110,Bhojpur,भोजपुर,district,NP01,2015-09-20,,DIST_PCODE=NP0110
NP0107,Dhankuta,धनकुटा,district,NP01,2015-09-20,,DIST_PCODE=NP0107
NP0108,Terhathum,तेह्रथुम,district,NP01,2015-09-20,,DIST_PCODE=NP0108
NP0102,Panchthar,पाँचथर,district,NP01,2015-09-20,,DIST_PCODE=NP0102
NP0103,Ilam,इलाम,district,NP01,2015-09-20,,DIST_PCODE=NP0103
NP0104,Jhapa,झापा,district,NP01,2015-09-20,,DIST_PCODE=NP0104
NP0105,Morang,मोरङ्ग,district,NP01,2015-09-20,,DIST_PCODE=NP0105
NP0106,Sunsari,सुनसरी,district,NP01,2015-09-20,,DIST_PCODE=NP0106
NP0114,Udayapur,उदयपुर,district,NP01,2015-09-20,,DIST_PCODE=NP0114
NP0215,Saptari,सप्तरी,district,NP02,2015-09-20,,DIST_PCODE=NP0215
NP0216,Siraha,सिराहा,district,NP02,2015-09-20,,DIST_PCODE=NP0216
NP0217,Dhanusha,धनुषा,district,NP02,2015-09-20,,DIST_PCODE=NP0217
NP0218,Mahottari,महोत्तरी,district,NP02,2015-09-20,,DIST_PCODE=NP0218
NP0219,Sarlahi,सर्लाही,district,NP02,2015-09-20,,DIST_PCODE=NP0219
NP0232,Rautahat,रौतहट,district,NP02,2015-09-20,,DIST_PCODE=NP0232
NP0233,Bara,बारा,district,NP02,2015-09-20,,DIST_PCODE=NP0233
NP0234,Parsa,पर्सा,district,NP02,2015-09-20,,DIST_PCODE=NP0234
NP0322,Dolakha,दोलखा,district,NP03,2015-09-20,,DIST_PCODE=NP0322
NP0323,Sindhupalchok,सिन्धुपाल्चोक,district,NP03,2015-09-20,,DIST_PCODE=NP0323
NP0329,Rasuwa,रसुवा,district,NP03,2015-09-20,,DIST_PCODE=NP0329
NP0330,Dhading,धादिङ्ग,district,NP03,2015-09-20,,DIST_PCODE=NP0330
NP0328,Nuwakot,नुवाकोट,district,NP03,2015-09-20,,DIST_PCODE=NP0328
NP0327,Kathmandu,काठमाडौँ,district,NP03,2015-09-20,,DIST_PCODE=NP0327
NP0326,Bhaktapur,भक्तपुर,district,NP03,2015-09-20,,DIST_PCODE=NP0326
NP0325,Lalitpur,ललितपुर,district,NP03,2015-09-20,,DIST_PCODE=NP0325
NP0324,Kabhrepalanchok,काभ्रेपलाञ्चोक,district,NP03,2015-09-20,,DIST_PCODE=NP0324
NP0321,Ramechhap,रामेछाप,district,NP03,2015-09-20,,DIST_PCODE=NP0321
NP0320,Sindhuli,सिन्धुली,district,NP03,2015-09-20,,DIST_PCODE=NP0320
NP0331,Makawanpur,मकवानपुर,district,NP03,2015-09-20,,DIST_PCODE=NP0331
NP0335,Chitawan,चितवन,district,NP03,2015-09-20,,DIST_PCODE=NP0335
NP0436,Gorkha,गोरखा,district,NP04,2015-09-20,,DIST_PCODE=NP0436
NP0438,Manang,मनाङ्ग,district,NP04,2015-09-20,,DIST_PCODE=NP0438
NP0445,Mustang,मुस्ताङ्ग,district,NP04,2015-09-20,,DIST_PCODE=NP0445
NP0444,Myagdi,म्याग्दी,district,NP04,2015-09-20,,DIST_PCODE=NP0444
NP0439,Kaski,कास्की,district,NP04,2015-09-20,,DIST_PCODE=NP0439
NP0437,Lamjung,लमजुङ्ग,district,NP04,2015-09-20,,DIST_PCODE=NP0437
NP0440,Tanahu,तनँहु,district,NP04,2015-09-20,,DIST_PCODE=NP0440
NP0447,Nawalparasi East,नवलपरासी (वर्दघाट सुस्ता पूर्व),district,NP04,2015-09-20,,DIST_PCODE=NP0447
NP0441,Syangja,स्याङ्जा,district,NP04,2015-09-20,,DIST_PCODE=NP0441
NP0442,Parbat,पर्वत,district,NP04,2015-09-20,,DIST_PCODE=NP0442
NP0443,Baglung,बाग्लुङ्ग,district,NP04,2015-09-20,,DIST_PCODE=NP0443
NP0552,Rukum East,रुकुम (पूर्व),district,NP05,2015-09-20,,DIST_PCODE=NP0552
NP0554,Rolpa,रोल्पा,district,NP05,2015-09-20,,DIST_PCODE=NP0554
NP0555,Pyuthan,प्युठान,district,NP05,2015-09-20,,DIST_PCODE=NP0555
NP0551,Gulmi,गुल्मी,district,NP05,2015-09-20,,DIST_PCODE=NP0551
NP0550,Arghakhanchi,अर्घाखाँची,district,NP05,2015-09-20,,DIST_PCODE=NP0550
NP0546,Palpa,पाल्पा,district,NP05,2015-09-20,,DIST_PCODE=NP0546
NP0547,Nawalparasi West,नवलपरासी (बर्दघाट सुस्ता पश्चिम),district,NP05,2015-09-20,,DIST_PCODE=NP0547
NP0548,Rupandehi,रुपन्देही,district,NP05,2015-09-20,,DIST_PCODE=NP0548
NP0549,Kapilbastu,कपिलबस्तु,district,NP05,2015-09-20,,DIST_PCODE=NP0549
NP0556,Dang,दाङ्ग,district,NP05,2015-09-20,,DIST_PCODE=NP0556
NP0557,Banke,बाकेँ,district,NP05,2015-09-20,,DIST_PCODE=NP0557
NP0558,Bardiya,बर्दिया,district,NP05,2015-09-20,,DIST_PCODE=NP0558
NP0662,Dolpa,डोल्पा,district,NP06,2015-09-20,,DIST_PCODE=NP0662
NP0665,Mugu,मुगु,district,NP06,2015-09-20,,DIST_PCODE=NP0665
NP0666,Humla,हुम्ला,district,NP06,2015-09-20,,DIST_PCODE=NP0666
NP0663,Jumla,जुम्ला,district,NP06,2015-09-20,,DIST_PCODE=NP0663
NP0664,Kalikot,कालीकोट,district,NP06,2015-09-20,,DIST_PCODE=NP0664
NP0661,Dailekh,दैलेख,district,NP06,2015-09-20,,DIST_PCODE=NP0661
NP0660,Jajarkot,जाजरकोट,district,NP06,2015-09-20,,DIST_PCODE=NP0660
NP0652,Rukum West,रुकुम (पश्चिम),district,NP06,2015-09-20,,DIST_PCODE=NP0652
NP0653,Salyan,सल्यान,district,NP06,2015-09-20,,DIST_PCODE=NP0653
NP0659,Surkhet,सुर्खेत,district,NP06,2015-09-20,,DIST_PCODE=NP0659
NP0768,Bajura,बाजुरा,district,NP07,2015-09-20,,DIST_PCODE=NP0768
NP0767,Bajhang,बझाङ्ग,district,NP07,2015-09-20,,DIST_PCODE=NP0767
NP0775,Darchula,दार्चुला,district,NP07,2015-09-20,,DIST_PCODE=NP0775
NP0774,Baitadi,बैतडी,district,NP07,2015-09-20,,DIST_PCODE=NP0774
NP0773,Dadeldhura,डडेल्धुरा,district,NP07,2015-09-20,,DIST_PCODE=NP0773
NP0770,Doti,डोटी,district,NP07,2015-09-20,,DIST_PCODE=NP0770
NP0769,Achham,अछाम,district,NP07,2015-09-20,,DIST_PCODE=NP0769
NP0771,Kailali,कैलाली,district,NP07,2015-09-20,,DIST_PCODE=NP0771
NP0772,Kanchanpur,कञ्चनपुर,district,NP07,2015-09-20,,DIST_PCODE=NP0772
